title                                            	seller     	itemid      	买家  	买家等级                                      	价格	数量	时间                 	套餐            	买家vip                                                                      
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	开**2	http://img.alicdn.com/newrank/b_red_3.gif 	  	1 	2016-01-22 17:15:15	颜色分类:黑色套餐:套餐七 	                                                                           
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	大**3	http://img.alicdn.com/newrank/b_red_3.gif 	  	1 	2016-01-21 17:56:32	颜色分类:黑色套餐:套餐七 	                                                                           
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	m**昧	http://img.alicdn.com/newrank/b_blue_2.gif	  	2 	2016-01-20 18:34:46	颜色分类:黑色套餐:套餐二 	<img src="//img.alicdn.com/tps/i2/T1HbuIXcNkXXXXXXXX-16-16.png" alt="V4会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	y**n	http://img.alicdn.com/newrank/b_blue_1.gif	  	1 	2016-01-19 23:56:13	颜色分类:黑色套餐:套餐七 	<img src="//img.alicdn.com/tps/i2/T1HbuIXcNkXXXXXXXX-16-16.png" alt="V4会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	呆**4	http://img.alicdn.com/newrank/b_blue_1.gif	  	1 	2016-01-18 15:01:00	颜色分类:黑色套餐:套餐一 	<img src="//img.alicdn.com/tps/i1/T1GYuIXcRkXXXXXXXX-16-16.png" alt="V3会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	谢**8	http://img.alicdn.com/newrank/b_red_3.gif 	  	1 	2016-01-18 10:52:36	颜色分类:黑色套餐:套餐一 	<img src="//img.alicdn.com/tps/i3/T1PbuIXclkXXXXXXXX-16-16.png" alt="V1会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	雪**里	http://img.alicdn.com/newrank/b_red_5.gif 	  	1 	2016-01-17 00:29:25	颜色分类:黑色套餐:套餐一 	                                                                           
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	h**8	http://img.alicdn.com/newrank/b_blue_1.gif	  	1 	2016-01-16 11:15:13	颜色分类:黑色套餐:套餐五 	<img src="//img.alicdn.com/tps/i2/T1HbuIXcNkXXXXXXXX-16-16.png" alt="V4会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	心**之	http://img.alicdn.com/newrank/b_red_3.gif 	  	1 	2016-01-15 20:16:37	颜色分类:黑色套餐:套餐一 	                                                                           
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	t**8	http://img.alicdn.com/newrank/b_red_4.gif 	  	1 	2016-01-15 11:44:39	颜色分类:黑色套餐:套餐七 	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
